epochs,reconstruction,kld,total_vae,auc,time
0,1.2716308985001001,3293.646947616186,3294.9185822315703,0.5393656642866494,1.1471099000000002
1,1.220835988338177,1841.8730844350962,1843.0939252804487,0.5322171268186222,0.5935383000000005
2,1.1545095841089885,1080.461389786158,1081.6158979366987,0.5364285736847961,0.5950683000000003
3,1.0640252568782904,651.0282655373597,652.092291416266,0.5280777749340323,0.7457802999999998
4,0.9356496410492139,409.3477032001202,410.2833518003806,0.5319755548311728,0.5890838000000009
5,0.8251633521838065,264.94809077336237,265.77325556828424,0.5333658320645961,0.5734959000000011
6,0.7839099948222821,177.85280002691806,178.63671053372897,0.5557132727855637,0.6289192999999997
7,0.7669915098410386,123.83032950376852,124.59732173039363,0.5829723078922914,0.6355213000000006
8,0.7524653077125549,88.75644253461789,89.50890741592798,0.609580889592244,0.6503742999999993
9,0.7405225649858133,64.84206977257362,65.58259279300005,0.6314769687641496,0.6782345000000003
10,0.7279422176189911,47.8426633981558,48.57060525356195,0.6549018180492533,0.6002575999999991
11,0.7107538328720973,35.528358410566284,36.239111924782776,0.6860786230161031,0.6147873000000015
12,0.6896672669129494,26.544592881814026,27.234260118924656,0.7253028078046657,0.6634776999999996
13,0.6612927959515498,19.973782343742176,20.635075226808205,0.7800779261666663,0.6818454999999997
14,0.6187277428614788,15.170022915571163,15.788750648498535,0.8574874456278813,0.6590246000000004
15,0.5622080006660559,11.657336002741104,12.219543982774784,0.9338232101366614,0.7244925000000002
16,0.49569239142613536,9.060155941889835,9.555848329495161,0.9756692068746349,0.6374251999999991
17,0.4213615403725551,7.141326366326748,7.56268789829352,0.9931684227758433,0.7036364000000006
18,0.3435682952404022,5.69239880488469,6.035967068794446,0.9986349896839763,0.6537866000000001
19,0.26375053975826657,4.606239000956218,4.869989529634133,0.9998298211383312,0.7245361999999993
20,0.18782257498838964,3.7731610995072584,3.960983673731486,0.9999754172975008,0.6477316000000002
21,0.11731352867224278,3.1227771380008797,3.240090657503177,0.9999936133858416,0.6826086999999994
22,0.06502542429818557,2.608371383104569,2.673396810507163,0.9999980272830096,0.7015582999999985
23,0.035968852730897755,2.1981416023694553,2.2341104531899476,0.9999995131854055,0.6273218999999983
24,0.021534195933968592,1.8611750449889746,1.882709231132116,1.0,0.5618550999999989
25,0.013679405304197317,1.584528467594049,1.5982078772324781,1.0,0.6229624000000022
26,0.009476983967499856,1.3529426623613408,1.3624196358216114,1.0,0.6697632999999996
27,0.007058778252357092,1.1584268227601662,1.1654856128570361,1.0,0.6955291999999993
28,0.005411904293279617,0.9933584042084522,0.9987703103285569,1.0,0.716374400000003
29,0.004287431037459427,0.8521792827508389,0.856466715152447,1.0,0.7109686000000011
