epochs,total_diffProj,infect_precision,infect_recall,infect_accuracy,time
0,0.1978611510246992,0.5778006283775305,0.9867631621369881,0.8005269814502528,1.0947059999999986
1,0.19777728021144866,0.578985483787984,0.9850504716713976,0.8013490725126475,0.8965527999999985
2,0.1977800689637661,0.584733974215501,0.9797554827782735,0.8058178752107926,0.8878085999999996
3,0.19709908328950404,0.5950847107689164,0.9762662776019042,0.8122470489038782,0.9970092000000008
4,0.19659080505371093,0.5979308055744434,0.9743018701967239,0.8154721753794266,0.847608300000001
5,0.19682013541460036,0.6041548586203982,0.9628346218487727,0.818929173693086,0.8866402000000022
6,0.196900063380599,0.606595205489418,0.9684423614599622,0.8209738617200676,0.9377405000000003
7,0.19666639305651187,0.6098859930667946,0.9602905286166751,0.822322934232715,0.9325672000000012
8,0.19612675718963146,0.6151017558179495,0.9585849276784213,0.8253794266441823,0.925699299999998
9,0.1964323204010725,0.6298873026287634,0.9455251671451548,0.8341694772344013,0.9641950000000037
10,0.19442910552024842,0.6467823962218968,0.9284844579337019,0.8415261382799326,0.8463097999999931
11,0.19325426816940308,0.6730419362959796,0.9147349591077332,0.854995784148398,0.9252759000000026
12,0.19328094236552715,0.7033630592751609,0.9008603574625523,0.8690767284991565,1.0448822999999976
13,0.19246285483241082,0.7459929515822898,0.8981703445671101,0.8867200674536259,1.0606750999999974
14,0.190111268684268,0.7464921151981841,0.8911513941159269,0.8868254637436761,1.0589250000000021
15,0.19132433980703353,0.766003203761223,0.8931171426361031,0.8952782462057336,1.0453392000000008
16,0.18932491019368172,0.79896097068249,0.8868650282266138,0.9074409780775717,1.0154633999999945
17,0.18842480853199958,0.8182466496749085,0.8810563052750409,0.913891231028668,1.1095193999999964
18,0.18725960664451122,0.8235922034815688,0.8839568672625076,0.9155986509274877,1.0499421000000027
19,0.18790322095155715,0.8230777477903629,0.8777586784819986,0.9144603709949412,1.0497325999999987
